Case,layer_name,MACs,num_cycles,MAC_per_cycle,num_cores,L1_mem,L2_mem,L1_tiling,L2_tiling
Case 1,ReluConvolution0,165888,46998,3.529682,8,64000,256000,9960.0,9960.0
Case 1,ReluConvolution1,55296,42558,1.299309,8,64000,256000,14040.0,14040.0
Case 1,ReluConvolution2,147456,29957,4.922255,8,64000,256000,12960.0,12960.0
Case 1,ReluConvolution3,55296,42522,1.300409,8,64000,256000,14040.0,14040.0
Case 1,ReluConvolution4,294912,54555,5.405774,8,64000,256000,19776.0,19776.0
Case 1,ReluConvolution5,27648,35472,0.779432,8,64000,256000,18864.0,18864.0
Case 1,ReluConvolution6,147456,19259,7.656472,8,64000,256000,8640.0,8640.0
Case 1,ReluConvolution7,27648,24055,1.149366,8,64000,256000,9648.0,9648.0
Case 1,ReluConvolution8,294912,35783,8.241679,8,64000,256000,14208.0,14208.0
Case 1,ReluConvolution9,55296,46951,1.177739,8,64000,256000,19296.0,19296.0
Case 1,ReluConvolution10,589824,53610,11.002127,8,64000,256000,21888.0,21888.0
Case 1,ReluConvolution11,13824,21036,0.657159,8,64000,256000,14688.0,14688.0
Case 1,ReluConvolution12,294912,28836,10.227216,8,64000,256000,23808.0,23808.0
Case 1,ReluConvolution13,27648,30005,0.921446,8,64000,256000,20160.0,20160.0
Case 1,ReluConvolution14,589824,94280,6.256088,8,64000,256000,15408.0,43776.0
Case 1,ReluConvolution15,6912,14689,0.470556,8,64000,256000,17856.0,17856.0
Case 1,ReluConvolution16,294912,93518,3.153532,8,64000,256000,15168.0,77568.0
Case 1,ReluConvolution17,13824,21570,0.64089,8,64000,256000,31104.0,31104.0
Case 1,ReluConvolution18,589824,214174,2.753948,8,64000,256000,26624.0,27904.0
Case 1,ReluConvolution19,13824,21556,0.641306,8,64000,256000,31104.0,31104.0
Case 1,ReluConvolution20,589824,214295,2.752393,8,64000,256000,26624.0,27904.0
Case 1,ReluConvolution21,13824,21538,0.641842,8,64000,256000,31104.0,31104.0
Case 1,ReluConvolution22,1179648,401162,2.940578,8,64000,256000,26624.0,29440.0
Case 1,ReluPooling23,0,32085,0.0,8,64000,256000,3840.0,3840.0
Case 1,FullyConnected24,7680,3337,2.301468,8,64000,256000,8528.0,8528.0
Case 1,ReluConvolution0,165888,85542,1.939258,4,64000,256000,9960.0,9960.0
Case 1,ReluConvolution1,55296,75047,0.736818,4,64000,256000,14040.0,14040.0
Case 1,ReluConvolution2,147456,56249,2.621487,4,64000,256000,12960.0,12960.0
Case 1,ReluConvolution3,55296,75024,0.737044,4,64000,256000,14040.0,14040.0
Case 1,ReluConvolution4,294912,103660,2.844993,4,64000,256000,19776.0,19776.0
Case 1,ReluConvolution5,27648,55987,0.493829,4,64000,256000,18864.0,18864.0
Case 1,ReluConvolution6,147456,35941,4.102724,4,64000,256000,8640.0,8640.0
Case 1,ReluConvolution7,27648,42786,0.646193,4,64000,256000,9648.0,9648.0
Case 1,ReluConvolution8,294912,68022,4.335538,4,64000,256000,14208.0,14208.0
Case 1,ReluConvolution9,55296,83978,0.658458,4,64000,256000,19296.0,19296.0
Case 1,ReluConvolution10,589824,101870,5.789968,4,64000,256000,21888.0,21888.0
Case 1,ReluConvolution11,13824,33817,0.408788,4,64000,256000,14688.0,14688.0
Case 1,ReluConvolution12,294912,52639,5.602538,4,64000,256000,23808.0,23808.0
Case 1,ReluConvolution13,27648,53964,0.512342,4,64000,256000,20160.0,20160.0
Case 1,ReluConvolution14,589824,90626,6.508331,4,64000,256000,15408.0,43776.0
Case 1,ReluConvolution15,6912,24318,0.284234,4,64000,256000,17856.0,17856.0
Case 1,ReluConvolution16,294912,93593,3.151005,4,64000,256000,15168.0,77568.0
Case 1,ReluConvolution17,13824,39077,0.353763,4,64000,256000,31104.0,31104.0
Case 1,ReluConvolution18,589824,214087,2.755067,4,64000,256000,26624.0,27904.0
Case 1,ReluConvolution19,13824,39116,0.35341,4,64000,256000,31104.0,31104.0
Case 1,ReluConvolution20,589824,214331,2.75193,4,64000,256000,26624.0,27904.0
Case 1,ReluConvolution21,13824,39062,0.353899,4,64000,256000,31104.0,31104.0
Case 1,ReluConvolution22,1179648,400900,2.942499,4,64000,256000,26624.0,29440.0
Case 1,ReluPooling23,0,32070,0.0,4,64000,256000,3840.0,3840.0
Case 1,FullyConnected24,7680,4169,1.842168,4,64000,256000,8528.0,8528.0
Case 1,ReluConvolution0,165888,162876,1.018493,2,64000,256000,9960.0,9960.0
Case 1,ReluConvolution1,55296,140206,0.394391,2,64000,256000,14040.0,14040.0
Case 1,ReluConvolution2,147456,108956,1.353354,2,64000,256000,12960.0,12960.0
Case 1,ReluConvolution3,55296,140121,0.39463,2,64000,256000,14040.0,14040.0
Case 1,ReluConvolution4,294912,202808,1.454144,2,64000,256000,19776.0,19776.0
Case 1,ReluConvolution5,27648,97073,0.284817,2,64000,256000,18864.0,18864.0
Case 1,ReluConvolution6,147456,69339,2.126595,2,64000,256000,8640.0,8640.0
Case 1,ReluConvolution7,27648,80138,0.345005,2,64000,256000,9648.0,9648.0
Case 1,ReluConvolution8,294912,132743,2.221677,2,64000,256000,14208.0,14208.0
Case 1,ReluConvolution9,55296,158420,0.349047,2,64000,256000,19296.0,19296.0
Case 1,ReluConvolution10,589824,199271,2.959909,2,64000,256000,21888.0,21888.0
Case 1,ReluConvolution11,13824,59484,0.232399,2,64000,256000,14688.0,14688.0
Case 1,ReluConvolution12,294912,100892,2.923046,2,64000,256000,23808.0,23808.0
Case 1,ReluConvolution13,27648,101645,0.272005,2,64000,256000,20160.0,20160.0
Case 1,ReluConvolution14,589824,173332,3.402857,2,64000,256000,15408.0,43776.0
Case 1,ReluConvolution15,6912,43433,0.159142,2,64000,256000,17856.0,17856.0
Case 1,ReluConvolution16,294912,89883,3.281065,2,64000,256000,15168.0,77568.0
Case 1,ReluConvolution17,13824,74128,0.186488,2,64000,256000,31104.0,31104.0
Case 1,ReluConvolution18,589824,202602,2.911245,2,64000,256000,26624.0,27904.0
Case 1,ReluConvolution19,13824,74127,0.186491,2,64000,256000,31104.0,31104.0
Case 1,ReluConvolution20,589824,202739,2.909277,2,64000,256000,26624.0,27904.0
Case 1,ReluConvolution21,13824,74105,0.186546,2,64000,256000,31104.0,31104.0
Case 1,ReluConvolution22,1179648,377513,3.124788,2,64000,256000,26624.0,29440.0
Case 1,ReluPooling23,0,32089,0.0,2,64000,256000,3840.0,3840.0
Case 1,FullyConnected24,7680,5505,1.395095,2,64000,256000,8528.0,8528.0
Case 1,ReluConvolution0,165888,46924,3.535249,8,64000,320000,9960.0,9960.0
Case 1,ReluConvolution1,55296,42574,1.298821,8,64000,320000,14040.0,14040.0
Case 1,ReluConvolution2,147456,29937,4.925544,8,64000,320000,12960.0,12960.0
Case 1,ReluConvolution3,55296,42490,1.301389,8,64000,320000,14040.0,14040.0
Case 1,ReluConvolution4,294912,54505,5.410733,8,64000,320000,19776.0,19776.0
Case 1,ReluConvolution5,27648,35395,0.781127,8,64000,320000,18864.0,18864.0
Case 1,ReluConvolution6,147456,19301,7.639812,8,64000,320000,8640.0,8640.0
Case 1,ReluConvolution7,27648,24166,1.144087,8,64000,320000,9648.0,9648.0
Case 1,ReluConvolution8,294912,35810,8.235465,8,64000,320000,14208.0,14208.0
Case 1,ReluConvolution9,55296,46902,1.178969,8,64000,320000,19296.0,19296.0
Case 1,ReluConvolution10,589824,53533,11.017952,8,64000,320000,21888.0,21888.0
Case 1,ReluConvolution11,13824,21044,0.656909,8,64000,320000,14688.0,14688.0
Case 1,ReluConvolution12,294912,28855,10.220482,8,64000,320000,23808.0,23808.0
Case 1,ReluConvolution13,27648,29969,0.922553,8,64000,320000,20160.0,20160.0
Case 1,ReluConvolution14,589824,94235,6.259076,8,64000,320000,15408.0,43776.0
Case 1,ReluConvolution15,6912,14629,0.472486,8,64000,320000,17856.0,17856.0
Case 1,ReluConvolution16,294912,93482,3.154746,8,64000,320000,15168.0,77568.0
Case 1,ReluConvolution17,13824,21505,0.642827,8,64000,320000,31104.0,31104.0
Case 1,ReluConvolution18,589824,176116,3.349065,8,64000,320000,12512.0,152064.0
Case 1,ReluConvolution19,13824,21552,0.641425,8,64000,320000,31104.0,31104.0
Case 1,ReluConvolution20,589824,176038,3.350549,8,64000,320000,12512.0,152064.0
Case 1,ReluConvolution21,13824,21530,0.642081,8,64000,320000,31104.0,31104.0
Case 1,ReluConvolution22,1179648,400993,2.941817,8,64000,320000,26624.0,29440.0
Case 1,ReluPooling23,0,32089,0.0,8,64000,320000,3840.0,3840.0
Case 1,FullyConnected24,7680,3342,2.298025,8,64000,320000,8528.0,8528.0
Case 1,ReluConvolution0,165888,85545,1.93919,4,64000,320000,9960.0,9960.0
Case 1,ReluConvolution1,55296,75043,0.736858,4,64000,320000,14040.0,14040.0
Case 1,ReluConvolution2,147456,56237,2.622046,4,64000,320000,12960.0,12960.0
Case 1,ReluConvolution3,55296,74986,0.737418,4,64000,320000,14040.0,14040.0
Case 1,ReluConvolution4,294912,103632,2.845762,4,64000,320000,19776.0,19776.0
Case 1,ReluConvolution5,27648,55918,0.494438,4,64000,320000,18864.0,18864.0
Case 1,ReluConvolution6,147456,35885,4.109127,4,64000,320000,8640.0,8640.0
Case 1,ReluConvolution7,27648,42724,0.64713,4,64000,320000,9648.0,9648.0
Case 1,ReluConvolution8,294912,68012,4.336176,4,64000,320000,14208.0,14208.0
Case 1,ReluConvolution9,55296,84033,0.658027,4,64000,320000,19296.0,19296.0
Case 1,ReluConvolution10,589824,101817,5.792982,4,64000,320000,21888.0,21888.0
Case 1,ReluConvolution11,13824,33790,0.409115,4,64000,320000,14688.0,14688.0
Case 1,ReluConvolution12,294912,52762,5.589477,4,64000,320000,23808.0,23808.0
Case 1,ReluConvolution13,27648,53983,0.512161,4,64000,320000,20160.0,20160.0
Case 1,ReluConvolution14,589824,90621,6.50869,4,64000,320000,15408.0,43776.0
Case 1,ReluConvolution15,6912,24312,0.284304,4,64000,320000,17856.0,17856.0
Case 1,ReluConvolution16,294912,93514,3.153667,4,64000,320000,15168.0,77568.0
Case 1,ReluConvolution17,13824,39027,0.354216,4,64000,320000,31104.0,31104.0
Case 1,ReluConvolution18,589824,175889,3.353388,4,64000,320000,12512.0,152064.0
Case 1,ReluConvolution19,13824,38966,0.354771,4,64000,320000,31104.0,31104.0
Case 1,ReluConvolution20,589824,175875,3.353655,4,64000,320000,12512.0,152064.0
Case 1,ReluConvolution21,13824,38967,0.354762,4,64000,320000,31104.0,31104.0
Case 1,ReluConvolution22,1179648,401034,2.941516,4,64000,320000,26624.0,29440.0
Case 1,ReluPooling23,0,32081,0.0,4,64000,320000,3840.0,3840.0
Case 1,FullyConnected24,7680,4217,1.8212,4,64000,320000,8528.0,8528.0
Case 1,ReluConvolution0,165888,162893,1.018386,2,64000,320000,9960.0,9960.0
Case 1,ReluConvolution1,55296,140036,0.39487,2,64000,320000,14040.0,14040.0
Case 1,ReluConvolution2,147456,108978,1.35308,2,64000,320000,12960.0,12960.0
Case 1,ReluConvolution3,55296,140039,0.394861,2,64000,320000,14040.0,14040.0
Case 1,ReluConvolution4,294912,202816,1.454086,2,64000,320000,19776.0,19776.0
Case 1,ReluConvolution5,27648,97051,0.284881,2,64000,320000,18864.0,18864.0
Case 1,ReluConvolution6,147456,69295,2.127946,2,64000,320000,8640.0,8640.0
Case 1,ReluConvolution7,27648,80103,0.345156,2,64000,320000,9648.0,9648.0
Case 1,ReluConvolution8,294912,132720,2.222061,2,64000,320000,14208.0,14208.0
Case 1,ReluConvolution9,55296,158383,0.349128,2,64000,320000,19296.0,19296.0
